III LR length (mm);rel dist top tip
56.19;96.2727566519444
15.75;94.6138101906711
17.5;94.2798664224927
16.39;91.8129914898201
14.3;88.5381880857481
12.87;86.6207045136271
7.05;84.326187654853
9.43;83.3459011095551
9.09;81.7839060648497
13.7;80.7928471399332
7.56;80.3404071959496
8.48;76.4192610147581
8.28;74.9326726273834
8.89;73.9200689432296
3.6;71.3346978347517
6.8;69.9127437250889
2.73;67.4458687924162
2.94;66.476354626737
3.16;65.5607023591511
4.72;64.871270063557
3.1;61.8657761499515
3.38;61.3810190671119
1.92;60.0021544759237
0.23;56.8566196272757
0.81;55.1869007863837
0.08;51.6104707529893
0.16;50.4039642356997
0.19;49.5637186254444
0.2;48.4864806635786
0.11;47.6354626737046
0.03;46.0303781105246
0.09;44.0698050199289
0.87;95.5900169614732
52.35;94.5117518778774
56.11;92.2704143445602
46.05;87.8119699539617
53.49;86.8669735885631
3.31;86.2248606736128
51.09;83.922946450206
39.01;82.7114126484129
27.45;77.9258541313303
42.43;76.4841289071965
5.25;75.5391325417979
29.82;74.1216379937
14.53;72.2558759389387
17.86;70.4385752362491
16.16;70.099345771747
17.85;68.6455052095954
3.7;64.8049430579113
10.27;64.6110976496244
15.65;63.3874485098134
19.07;60.7826508359583
14.48;58.6261206687667
4.11;57.3176641628301
16.66;56.1909377271626
19.62;53.4286406590744
20.02;52.2292221952993
16.65;50.6299975769324
9.83;48.8732735643325
12.25;48.7157741700993
20.54;48.4734674097407
18.99;46.3169372425491
24.07;45.1417494548098
16.15;43.9665616670705
16.51;42.9125272595105
15.05;41.1921492609644
7.99;39.2779258541313
7.7;37.593893869639
9.53;36.5277441240611
9.85;35.6069784346983
10.74;34.9164041676763
9.63;34.795250787497
4.66;32.1541070995881
1.18;30.8335352556336
2.23;28.313544947904
2.34;27.8168160891689
0.39;25.4664405136903
2.37;97.7101096224117
1.59;95.0791717417783
21.23;94.1047503045067
22.33;93.0328867235079
24.65;89.5736906211937
0.54;86.9914738124239
0.93;84.5797807551766
0.97;82.1680876979294
1.59;78.3313032886724
8.29;75.2496954933008
7.17;71.973203410475
12.38;69.415347137637
14.35;66.4799025578563
7.98;65.6881851400731
4;62.1437271619976
0.41;61.9853836784409
11.25;58.8794153471376
9.67;56.5773447015834
14.42;54.9573690621194
9.63;52.1924482338611
14.98;51.2180267965895
7.5;49.3179049939099
10.68;46.5408038976857
10.85;45.2496954933008
7.29;42.6431181485993
7.34;40.8282582216809
4.22;38.0146163215591
3.47;37.0645554202192
2.75;35.3714981729598
1.46;34.0194884287454
2.83;33.7393422655298
3.46;32.1680876979293
2.71;30.7429963459196
1.07;28.8550548112058
0.97;27.0523751522533
0.26;25.5663824604141
23.43;99.401608789484
27.04;96.6254659603689
17.06;94.3594271139886
2.65;93.9474200510104
18.32;89.7488718854228
9.22;87.3749264273102
5.02;83.5981950166765
8.5;79.8018442220914
10.61;74.2691779478124
8.76;72.1110457131646
12.41;70.9731214439867
7.58;68.1283107710418
4.45;65.489503629586
4.24;63.0272709436924
8.05;61.4773396115362
2.42;59.3584461447911
5.67;55.4639984304493
0.49;53.796350794585
5.58;52.0796546988425
3.28;48.9307435746517
1.49;46.6745144202472
2.99;45.4973513831666
1.76;44.0357072787914
1.67;40.8671767706494
0.93;40.4061212477928
0.34;37.3651167353345
0.23;36.6391995291348
0.11;35.883853247008
0.07;33.8336276240926
0.16;31.1555817147342
0.18;28.7423974887189
5.97;95.266013300665
18.83;92.8158907945397
27.06;90.4270213510676
0.17;89.4819740987049
18.58;89.0094504725236
12.15;87.4518725936297
26.56;85.9555477773889
25.63;85.1505075253763
26.22;82.630381519076
24.78;80.1802590129506
16.17;78.2026601330066
20.44;76.8200910045502
23.3;76.5663283164158
7.32;74.7549877493875
20.45;73.8099404970249
15.87;72.2873643682184
13.3;69.9334966748337
21.83;68.8659432971649
13.83;68.4196709835492
15.32;65.6020301015051
10.9;64.7182359117956
8.91;61.5155757787889
10.87;60.9292964648232
11.69;59.8354917745887
12.62;58.1466573328667
7.44;56.8865943297165
8.06;56.7028351417571
6.57;55.014000700035
6.65;53.8501925096255
2.66;53.4564228211411
4.87;51.4700735036752
7.14;48.941197059853
2.69;48.0399019950998
4.67;46.0098004900245
2.59;44.5134756737837
4.55;44.1197059852993
2.58;42.6933846692335
2.39;42.1333566678334
3.37;41.7570878543927
2.52;40.4532726636332
3.36;39.4382219110956
2.11;37.4956247812391
1.85;36.2005600280014
1.53;35.6142807140357
1.39;34.8354917745887
0.92;32.7441372068603
0.42;32.2191109555478
0.37;29.4452222611131
0.15;28.5439271963598
0.09;28.4476723836192
0.26;27.0388519425971
0.16;24.9737486874344
10.22;97.4588103881597
65.93;96.5233175090757
32.15;88.7880480312762
10.41;80.3965372800894
8.05;76.3613515777716
9.89;73.6107232616588
3.05;69.8408265847529
8.98;68.5283440379782
2.03;63.9206925439821
0.95;62.9572745043284
6.13;62.81764870148
11.84;61.2398771292935
13.7;60.1507958670762
16.97;58.8941636414409
15.94;54.0351857023178
11.17;50.5864283719631
11.28;48.9807316392069
9.74;46.9561574979056
10.75;44.4987433677744
8.63;41.45490086568
3.28;37.9782183747557
3.03;36.4004468025691
3.04;34.0966210555711
0.55;31.2622172577492
0.22;29.8101089081262
0.27;27.9949734710975
0.19;25.5375593409662
44.54;97.1840950898543
7.4;93.1371161737654
19.92;90.632517334088
32.37;89.1042875336069
31.83;87.7458610442904
30.2;86.0478279326447
16.45;85.6233196547333
33.78;85.4393660676383
40.5;82.5244092259799
15.57;78.6472336210556
25.72;77.3454082354606
26.11;74.9398613272959
13.13;72.8314702136692
15.15;70.7089288241121
23.55;68.7420404697892
21.33;68.1477288807132
21.16;64.4545068628838
16.22;64.0724494127636
19.1;61.9640582991369
14.62;59.1198528371303
19.03;58.1859346257252
24.79;54.7332672987123
17.31;51.4079524550729
19.28;50.4315834158766
20.04;49.2288099617943
11.56;48.7760011320221
13.27;47.7288807131739
13.24;43.7243526248762
9.31;43.1724918635913
8.37;41.6159615112495
11.3;40.9367482665912
7.78;37.5972831470214
9.44;36.3520588651479
1.74;35.8567992075846
9.05;34.5691240979199
6;32.2626291212679
4.77;29.701429177869
1.26;27.8335927550587
0.95;27.7062402716853
0.66;26.6591198528371
0.49;25.3431441913117
0.21;24.3950757039762
0.19;21.5508702419697
49.72;97.4921630094044
14.82;94.5812807881773
15.35;94.1558441558442
22.82;91.8831168831169
17.96;89.1625615763547
12.37;84.1580832960143
12.84;81.53828929691
3.72;81.0232870577698
10.86;79.6126287505598
6.67;78.1571876399463
5.72;77.0935960591133
0.54;74.5745633676668
7.32;74.2834751455441
7.18;72.7160770264218
3.81;70.7792207792208
8.63;68.7192118226601
5.2;66.0434393193014
6.07;65.4948499776086
3.46;63.2892969099866
3.17;61.0949395432154
1.41;60.4679802955665
2.82;60.2104791759964
2.95;58.1168831168831
1.87;55.1388266905508
1.49;54.5790416480072
1.08;53.2355575459024
0.55;50.2127183161666
0.42;48.2422749664129
0.18;45.9583519928347
0.11;45.6112852664577
0.17;42.3533363188536
0.1;40.4836542767577
0.19;37.7071204657412
0.15;35.1321092700403
30.99;97.5526973919257
19.98;93.2475884244373
3.34;91.7113254733834
6.96;90.7824222936763
13.0;89.2997499106824
23.6;86.6202215076813
12.12;79.6355841371919
9.22;75.9378349410504
6.96;73.9013933547696
11.02;71.1682743837085
8.2;69.935691318328
0.07;66.59521257592
8.22;62.9153269024652
2.42;57.1096820292962
5.51;55.7163272597356
3.45;53.4833869239014
4.48;50.9824937477671
1.51;49.6427295462665
4.25;46.0342979635584
0.34;42.5866380850304
0.88;41.6934619506967
1.92;40.8181493390497
1.26;39.2818863879957
1.37;35.6555912826009
0.29;34.119328331547
0.26;32.4580207216863
0.;0.
