dist. to tip (mm),plant,all intercepts,intercepts order 0,intercepts order 1,intercepts order 2
1,20-06-09-FB-160212-3-Col,1,1,0,0
2,20-06-09-FB-160212-3-Col,1,1,0,0
3,20-06-09-FB-160212-3-Col,1,1,0,0
4,20-06-09-FB-160212-3-Col,2,1,1,0
5,20-06-09-FB-160212-3-Col,3,1,2,0
6,20-06-09-FB-160212-3-Col,4,1,3,0
7,20-06-09-FB-160212-3-Col,5,1,4,0
8,20-06-09-FB-160212-3-Col,6,1,5,0
9,20-06-09-FB-160212-3-Col,7,1,6,0
10,20-06-09-FB-160212-3-Col,8,1,7,0
11,20-06-09-FB-160212-3-Col,10,1,8,1
12,20-06-09-FB-160212-3-Col,12,1,8,3
13,20-06-09-FB-160212-3-Col,16,1,9,6
14,20-06-09-FB-160212-3-Col,20,1,10,9
15,20-06-09-FB-160212-3-Col,24,1,10,13
16,20-06-09-FB-160212-3-Col,23,1,10,12
17,20-06-09-FB-160212-3-Col,25,1,11,13
18,20-06-09-FB-160212-3-Col,27,1,12,14
19,20-06-09-FB-160212-3-Col,27,1,12,14
20,20-06-09-FB-160212-3-Col,29,1,14,14
21,20-06-09-FB-160212-3-Col,33,1,14,18
22,20-06-09-FB-160212-3-Col,35,1,15,19
23,20-06-09-FB-160212-3-Col,40,1,17,22
24,20-06-09-FB-160212-3-Col,40,1,18,21
25,20-06-09-FB-160212-3-Col,44,1,17,26
26,20-06-09-FB-160212-3-Col,48,1,18,29
27,20-06-09-FB-160212-3-Col,49,1,18,30
28,20-06-09-FB-160212-3-Col,52,1,20,31
29,20-06-09-FB-160212-3-Col,54,1,20,33
30,20-06-09-FB-160212-3-Col,53,1,19,33
31,20-06-09-FB-160212-3-Col,53,1,20,32
32,20-06-09-FB-160212-3-Col,51,1,19,31
33,20-06-09-FB-160212-3-Col,46,1,19,26
34,20-06-09-FB-160212-3-Col,47,1,19,27
35,20-06-09-FB-160212-3-Col,45,1,19,25
36,20-06-09-FB-160212-3-Col,45,1,18,26
37,20-06-09-FB-160212-3-Col,39,1,17,21
38,20-06-09-FB-160212-3-Col,39,1,16,22
39,20-06-09-FB-160212-3-Col,33,1,15,17
40,20-06-09-FB-160212-3-Col,35,1,16,18
41,20-06-09-FB-160212-3-Col,36,1,15,20
42,20-06-09-FB-160212-3-Col,31,1,14,16
43,20-06-09-FB-160212-3-Col,34,1,14,19
44,20-06-09-FB-160212-3-Col,30,1,15,14
45,20-06-09-FB-160212-3-Col,28,1,15,12
46,20-06-09-FB-160212-3-Col,26,1,14,11
47,20-06-09-FB-160212-3-Col,26,1,15,10
48,20-06-09-FB-160212-3-Col,27,1,14,12
49,20-06-09-FB-160212-3-Col,25,1,14,10
50,20-06-09-FB-160212-3-Col,23,1,14,8
51,20-06-09-FB-160212-3-Col,20,1,14,5
52,20-06-09-FB-160212-3-Col,19,1,14,4
53,20-06-09-FB-160212-3-Col,16,1,13,2
54,20-06-09-FB-160212-3-Col,18,1,14,3
55,20-06-09-FB-160212-3-Col,16,1,13,2
56,20-06-09-FB-160212-3-Col,17,1,13,3
57,20-06-09-FB-160212-3-Col,16,1,13,2
58,20-06-09-FB-160212-3-Col,15,1,12,2
59,20-06-09-FB-160212-3-Col,15,1,12,2
60,20-06-09-FB-160212-3-Col,14,1,12,1
61,20-06-09-FB-160212-3-Col,13,1,12,0
62,20-06-09-FB-160212-3-Col,13,1,12,0
63,20-06-09-FB-160212-3-Col,13,1,12,0
64,20-06-09-FB-160212-3-Col,11,1,10,0
65,20-06-09-FB-160212-3-Col,11,1,10,0
66,20-06-09-FB-160212-3-Col,11,1,10,0
67,20-06-09-FB-160212-3-Col,11,1,10,0
68,20-06-09-FB-160212-3-Col,12,1,10,1
69,20-06-09-FB-160212-3-Col,11,1,10,0
70,20-06-09-FB-160212-3-Col,11,1,10,0
71,20-06-09-FB-160212-3-Col,11,1,10,0
72,20-06-09-FB-160212-3-Col,10,1,9,0
73,20-06-09-FB-160212-3-Col,9,1,8,0
74,20-06-09-FB-160212-3-Col,9,1,8,0
75,20-06-09-FB-160212-3-Col,9,1,8,0
76,20-06-09-FB-160212-3-Col,9,1,8,0
77,20-06-09-FB-160212-3-Col,9,1,8,0
78,20-06-09-FB-160212-3-Col,8,1,7,0
79,20-06-09-FB-160212-3-Col,7,1,6,0
80,20-06-09-FB-160212-3-Col,7,1,6,0
81,20-06-09-FB-160212-3-Col,7,1,6,0
82,20-06-09-FB-160212-3-Col,6,1,5,0
83,20-06-09-FB-160212-3-Col,5,1,4,0
84,20-06-09-FB-160212-3-Col,4,1,3,0
85,20-06-09-FB-160212-3-Col,4,1,3,0
86,20-06-09-FB-160212-3-Col,4,1,3,0
87,20-06-09-FB-160212-3-Col,4,1,3,0
88,20-06-09-FB-160212-3-Col,4,1,3,0
89,20-06-09-FB-160212-3-Col,4,1,3,0
90,20-06-09-FB-160212-3-Col,4,1,3,0
91,20-06-09-FB-160212-3-Col,4,1,3,0
92,20-06-09-FB-160212-3-Col,4,1,3,0
93,20-06-09-FB-160212-3-Col,2,0,2,0
94,20-06-09-FB-160212-3-Col,2,0,2,0
95,20-06-09-FB-160212-3-Col,2,0,2,0
96,20-06-09-FB-160212-3-Col,1,0,1,0
97,20-06-09-FB-160212-3-Col,1,0,1,0
98,20-06-09-FB-160212-3-Col,1,0,1,0
99,20-06-09-FB-160212-3-Col,1,0,1,0
100,20-06-09-FB-160212-3-Col,1,0,1,0
101,20-06-09-FB-160212-3-Col,1,0,1,0
102,20-06-09-FB-160212-3-Col,1,0,1,0
103,20-06-09-FB-160212-3-Col,1,0,1,0
104,20-06-09-FB-160212-3-Col,1,0,1,0
105,20-06-09-FB-160212-3-Col,1,0,1,0
106,20-06-09-FB-160212-3-Col,1,0,1,0
107,20-06-09-FB-160212-3-Col,1,0,1,0
108,20-06-09-FB-160212-3-Col,1,0,1,0
109,,,,,
110,,,,,
