seed,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
90177815,0.04,32.76558,0.3281,0.00010377974871,0.00742651701536
90177815,0.04,32.76558,0.3281,0.00010377974871,0.00715807449093
90177815,0.04,32.76558,0.3281,0.00010377974871,0.006831934641
90177815,0.04,32.76558,0.3281,0.00010377974871,0.0064271277283
90177815,0.04,32.76558,0.3281,0.00010377974871,0.00591097742927
90177815,0.04,32.76558,0.3281,0.00010377974871,0.00522933635572
90177815,0.04,32.76558,0.3281,0.00010377974871,0.00428419097082
90177815,0.04,32.76558,0.3281,0.00010377974871,0.00286791030648
75303180,0.04,32.76558,0.1895,6.36203928278e-05,0.0049326551954
75303180,0.04,32.76558,0.1895,6.36203928278e-05,0.00479488585623
75303180,0.04,32.76558,0.1895,6.36203928278e-05,0.00462488797507
75303180,0.04,32.76558,0.1895,6.36203928278e-05,0.00440975256334
75303180,0.04,32.76558,0.1895,6.36203928278e-05,0.00412849456686
75303180,0.04,32.76558,0.1895,6.36203928278e-05,0.00374433152694
75303180,0.04,32.76558,0.1895,6.36203928278e-05,0.00318518598055
75303180,0.04,32.76558,0.1895,6.36203928278e-05,0.00227804783591
37891450,0.04,32.76558,0.1699,5.73920597284e-05,0.00462974806941
37891450,0.04,32.76558,0.1699,5.73920597284e-05,0.00451807088104
37891450,0.04,32.76558,0.1699,5.73920597284e-05,0.00437859211084
37891450,0.04,32.76558,0.1699,5.73920597284e-05,0.00419939605409
37891450,0.04,32.76558,0.1699,5.73920597284e-05,0.00396055733427
37891450,0.04,32.76558,0.1699,5.73920597284e-05,0.00362592730723
37891450,0.04,32.76558,0.1699,5.73920597284e-05,0.00312177423891
37891450,0.04,32.76558,0.1699,5.73920597284e-05,0.0022653140438
79499597,0.04,32.76558,0.7702,0.000196107166976,0.0110539658304
79499597,0.04,32.76558,0.7702,0.000196107166976,0.0105023359026
79499597,0.04,32.76558,0.7702,0.000196107166976,0.00986435237558
79499597,0.04,32.76558,0.7702,0.000196107166976,0.00911500759224
79499597,0.04,32.76558,0.7702,0.000196107166976,0.00821670263325
79499597,0.04,32.76558,0.7702,0.000196107166976,0.00710847880184
79499597,0.04,32.76558,0.7702,0.000196107166976,0.00567957222086
79499597,0.04,32.76558,0.7702,0.000196107166976,0.00368455305082
43310155,0.04,32.76558,0.3846,0.000113231544367,0.00796877846969
43310155,0.04,32.76558,0.3846,0.000113231544367,0.00767273735522
43310155,0.04,32.76558,0.3846,0.000113231544367,0.0073148080607
43310155,0.04,32.76558,0.3846,0.000113231544367,0.00687291361714
43310155,0.04,32.76558,0.3846,0.000113231544367,0.00631268527573
43310155,0.04,32.76558,0.3846,0.000113231544367,0.00557696442346
43310155,0.04,32.76558,0.3846,0.000113231544367,0.0045609031826
43310155,0.04,32.76558,0.3846,0.000113231544367,0.00303549892612
99324719,0.04,32.76558,0.6435,0.000171702753739,0.0109816695531
99324719,0.04,32.76558,0.6435,0.000171702753739,0.0105161029042
99324719,0.04,32.76558,0.6435,0.000171702753739,0.00996563684757
99324719,0.04,32.76558,0.6435,0.000171702753739,0.00930248552921
99324719,0.04,32.76558,0.6435,0.000171702753739,0.00848377505518
99324719,0.04,32.76558,0.6435,0.000171702753739,0.00743826444802
99324719,0.04,32.76558,0.6435,0.000171702753739,0.00603387408991
99324719,0.04,32.76558,0.6435,0.000171702753739,0.0039760354466
35978751,0.04,32.76558,0.4381,0.000127255299814,0.00854524791559
35978751,0.04,32.76558,0.4381,0.000127255299814,0.00820028539721
35978751,0.04,32.76558,0.4381,0.000127255299814,0.00778803133572
35978751,0.04,32.76558,0.4381,0.000127255299814,0.00728589287356
35978751,0.04,32.76558,0.4381,0.000127255299814,0.00665925237514
35978751,0.04,32.76558,0.4381,0.000127255299814,0.00585140907582
35978751,0.04,32.76558,0.4381,0.000127255299814,0.00475957502822
35978751,0.04,32.76558,0.4381,0.000127255299814,0.00315944564428
49530984,0.05,32.76558,0.6606,0.000184455816638,0.0101549375452
49530984,0.05,32.76558,0.6606,0.000184455816638,0.0095906872269
49530984,0.05,32.76558,0.6606,0.000184455816638,0.00893817529653
49530984,0.05,32.76558,0.6606,0.000184455816638,0.00817385535871
49530984,0.05,32.76558,0.6606,0.000184455816638,0.00726419821156
49530984,0.05,32.76558,0.6606,0.000184455816638,0.00615887595114
49530984,0.05,32.76558,0.6606,0.000184455816638,0.00477583014517
49530984,0.05,32.76558,0.6606,0.000184455816638,0.00295819225677
61253808,0.05,32.76558,0.8178,0.000218140538557,0.0119878057473
61253808,0.05,32.76558,0.8178,0.000218140538557,0.0113364010002
61253808,0.05,32.76558,0.8178,0.000218140538557,0.0105831879185
61253808,0.05,32.76558,0.8178,0.000218140538557,0.00970021223479
61253808,0.05,32.76558,0.8178,0.000218140538557,0.00864702435692
61253808,0.05,32.76558,0.8178,0.000218140538557,0.00736166191512
61253808,0.05,32.76558,0.8178,0.000218140538557,0.00574057439145
61253808,0.05,32.76558,0.8178,0.000218140538557,0.00358000377388
74686220,0.05,32.76558,0.2641,8.78981810318e-05,0.00638472500674
74686220,0.05,32.76558,0.2641,8.78981810318e-05,0.00616758809322
74686220,0.05,32.76558,0.2641,8.78981810318e-05,0.00590374580113
74686220,0.05,32.76558,0.2641,8.78981810318e-05,0.00557603255176
74686220,0.05,32.76558,0.2641,8.78981810318e-05,0.00515740392344
74686220,0.05,32.76558,0.2641,8.78981810318e-05,0.00460214149987
74686220,0.05,32.76558,0.2641,8.78981810318e-05,0.00382422038352
74686220,0.05,32.76558,0.2641,8.78981810318e-05,0.00262615751663
75967411,0.05,32.76558,0.2289,7.69039262132e-05,0.00588306537326
75967411,0.05,32.76558,0.2289,7.69039262132e-05,0.00570965299685
75967411,0.05,32.76558,0.2289,7.69039262132e-05,0.00549597760546
75967411,0.05,32.76558,0.2289,7.69039262132e-05,0.00522601717731
75967411,0.05,32.76558,0.2289,7.69039262132e-05,0.00487377996145
75967411,0.05,32.76558,0.2289,7.69039262132e-05,0.00439382466556
75967411,0.05,32.76558,0.2289,7.69039262132e-05,0.00369751855682
75967411,0.05,32.76558,0.2289,7.69039262132e-05,0.00257590501937
46271222,0.05,32.76558,0.5071,0.000154011490462,0.00976752878649
46271222,0.05,32.76558,0.5071,0.000154011490462,0.00932481837261
46271222,0.05,32.76558,0.5071,0.000154011490462,0.00880119403915
46271222,0.05,32.76558,0.5071,0.000154011490462,0.00817149482452
46271222,0.05,32.76558,0.5071,0.000154011490462,0.00739826225318
46271222,0.05,32.76558,0.5071,0.000154011490462,0.00642225218178
46271222,0.05,32.76558,0.5071,0.000154011490462,0.00514039428344
46271222,0.05,32.76558,0.5071,0.000154011490462,0.00333669268724
17114309,0.05,32.76558,0.6564,0.0001816156598,0.00979415728006
17114309,0.05,32.76558,0.6564,0.0001816156598,0.00924181100129
17114309,0.05,32.76558,0.6564,0.0001816156598,0.00860566932845
17114309,0.05,32.76558,0.6564,0.0001816156598,0.00786402740551
17114309,0.05,32.76558,0.6564,0.0001816156598,0.00698622609131
17114309,0.05,32.76558,0.6564,0.0001816156598,0.00592663976983
17114309,0.05,32.76558,0.6564,0.0001816156598,0.00461130799726
17114309,0.05,32.76558,0.6564,0.0001816156598,0.0028962713484
75139478,0.05,32.76558,0.3321,0.000104566592006,0.00659431105611
75139478,0.05,32.76558,0.3321,0.000104566592006,0.00629260572557
75139478,0.05,32.76558,0.3321,0.000104566592006,0.00593665719059
75139478,0.05,32.76558,0.3321,0.000104566592006,0.00551011899178
75139478,0.05,32.76558,0.3321,0.000104566592006,0.00498905116075
75139478,0.05,32.76558,0.3321,0.000104566592006,0.00433642384224
75139478,0.05,32.76558,0.3321,0.000104566592006,0.00348954532008
75139478,0.05,32.76558,0.3321,0.000104566592006,0.00231827787911
24507982,0.06,32.76558,0.8072,0.000224098160617,0.0122676397815
24507982,0.06,32.76558,0.8072,0.000224098160617,0.0115815548914
24507982,0.06,32.76558,0.8072,0.000224098160617,0.0107898680512
24507982,0.06,32.76558,0.8072,0.000224098160617,0.00986513777103
24507982,0.06,32.76558,0.8072,0.000224098160617,0.00876859575478
24507982,0.06,32.76558,0.8072,0.000224098160617,0.00744234921404
24507982,0.06,32.76558,0.8072,0.000224098160617,0.00579128501602
24507982,0.06,32.76558,0.8072,0.000224098160617,0.00362333829132
97195335,0.06,32.76558,0.3594,0.000114189478799,0.00704606810033
97195335,0.06,32.76558,0.3594,0.000114189478799,0.00671156081241
97195335,0.06,32.76558,0.3594,0.000114189478799,0.0063181797969
97195335,0.06,32.76558,0.3594,0.000114189478799,0.00584850617331
97195335,0.06,32.76558,0.3594,0.000114189478799,0.00527713949018
97195335,0.06,32.76558,0.3594,0.000114189478799,0.00456497965951
97195335,0.06,32.76558,0.3594,0.000114189478799,0.00364631211877
97195335,0.06,32.76558,0.3594,0.000114189478799,0.00238770923483
82185391,0.06,32.76558,0.3382,0.000111985086066,0.00731390574418
82185391,0.06,32.76558,0.3382,0.000111985086066,0.00700607625925
82185391,0.06,32.76558,0.3382,0.000111985086066,0.00664098663465
82185391,0.06,32.76558,0.3382,0.000111985086066,0.00620028832144
82185391,0.06,32.76558,0.3382,0.000111985086066,0.00565619032666
82185391,0.06,32.76558,0.3382,0.000111985086066,0.0049635565529
82185391,0.06,32.76558,0.3382,0.000111985086066,0.00404042388363
82185391,0.06,32.76558,0.3382,0.000111985086066,0.00270267826389
5368600,0.06,32.76558,0.7149,0.000200179267958,0.00990389845818
5368600,0.06,32.76558,0.7149,0.000200179267958,0.00927828584383
5368600,0.06,32.76558,0.7149,0.000200179267958,0.00856590478843
5368600,0.06,32.76558,0.7149,0.000200179267958,0.00774675452774
5368600,0.06,32.76558,0.7149,0.000200179267958,0.00679367429171
5368600,0.06,32.76558,0.7149,0.000200179267958,0.00566815882314
5368600,0.06,32.76558,0.7149,0.000200179267958,0.00431140818239
5368600,0.06,32.76558,0.7149,0.000200179267958,0.00261702116477
3285021,0.06,32.76558,0.5725,0.000168631206035,0.00881168153279
3285021,0.06,32.76558,0.5725,0.000168631206035,0.00828633505822
3285021,0.06,32.76558,0.5725,0.000168631206035,0.00768383019719
3285021,0.06,32.76558,0.5725,0.000168631206035,0.00698529963866
3285021,0.06,32.76558,0.5725,0.000168631206035,0.00616469372404
3285021,0.06,32.76558,0.5725,0.000168631206035,0.00518429492064
3285021,0.06,32.76558,0.5725,0.000168631206035,0.0039847471459
3285021,0.06,32.76558,0.5725,0.000168631206035,0.00245307703614
69379633,0.06,32.76558,0.3328,0.000110100884456,0.00688512184523
69379633,0.06,32.76558,0.3328,0.000110100884456,0.00657388792675
69379633,0.06,32.76558,0.3328,0.000110100884456,0.00620805043727
69379633,0.06,32.76558,0.3328,0.000110100884456,0.00577116673731
69379633,0.06,32.76558,0.3328,0.000110100884456,0.00523880519231
69379633,0.06,32.76558,0.3328,0.000110100884456,0.00457207292708
69379633,0.06,32.76558,0.3328,0.000110100884456,0.00370147042347
69379633,0.06,32.76558,0.3328,0.000110100884456,0.00247007157545
56540180,0.06,32.76558,0.3578,0.000115470243292,0.00758039690479
56540180,0.06,32.76558,0.3578,0.000115470243292,0.00726167996807
56540180,0.06,32.76558,0.3578,0.000115470243292,0.00688284880683
56540180,0.06,32.76558,0.3578,0.000115470243292,0.00642445907233
56540180,0.06,32.76558,0.3578,0.000115470243292,0.00585709471418
56540180,0.06,32.76558,0.3578,0.000115470243292,0.00513325628886
56540180,0.06,32.76558,0.3578,0.000115470243292,0.00416802627036
56540180,0.06,32.76558,0.3578,0.000115470243292,0.00277679859201
20640395,0.07,32.76558,0.4833,0.000150551403145,0.00836143884395
20640395,0.07,32.76558,0.4833,0.000150551403145,0.0079215185709
20640395,0.07,32.76558,0.4833,0.000150551403145,0.00741460389599
20640395,0.07,32.76558,0.4833,0.000150551403145,0.00682285877023
20640395,0.07,32.76558,0.4833,0.000150551403145,0.00612045913417
20640395,0.07,32.76558,0.4833,0.000150551403145,0.00526727366507
20640395,0.07,32.76558,0.4833,0.000150551403145,0.00419304573808
20640395,0.07,32.76558,0.4833,0.000150551403145,0.00274231656653
57393482,0.07,32.76558,0.4072,0.000132044971973,0.00761974857491
