Plant 7;;;
dist to base (mm);internode length (mm);LR length (mm);dist to tip (mm)
9.316;9.316;77.368;61.108
10.674;1.358;62.025;59.75
11.528;0.854;61.197;58.896
12.521;0.993;58.727;57.903
12.897;0.376;75.914;57.527
13.147;0.25;45.897;57.277
13.522;0.375;10.106;56.902
13.841;0.319;60.161;56.583
14.828;0.987;43.941;55.596
16.054;1.226;78.706;54.37
16.264;0.21;69.18;54.16
17.117;0.853;86.01;53.307
18.208;1.091;48.694;52.216
18.376;0.168;68.899;52.048
18.93;0.554;57.07;51.494
19.973;1.043;3.426;50.451
20.171;0.198;34.144;50.253
21.207;1.036;1.589;49.217
22.481;1.274;0.495;47.943
24.21;1.729;0.159;46.214
25.927;1.717;0.182;44.497
27.47;1.543;0.562;42.954
29.073;1.603;0.837;41.351
30.318;1.245;2.311;40.106
31.456;1.138;2.661;38.968
33.45;1.994;0.973;36.974
33.758;0.308;1.239;36.666
34.457;0.699;1.009;35.967
37.375;2.918;0.803;33.049
70.424;33.049;0;0