Plant 2;;;
dist to base (mm);internode length (mm);LR length (mm);dist to tip (mm)
4.32;4.32;82.09;101.75
6.41;2.09;75.05;99.66
8.93;2.52;67.5;97.14
11.85;2.92;14.73;94.22
12.36;0.51;62.26;93.71
13.97;1.61;44.91;92.1
15.49;1.52;18.87;90.58
16.41;0.92;85.54;89.66
18.35;1.94;58.05;87.72
20.12;1.77;62.1;85.95
21.56;1.44;0.76;84.51
23.25;1.69;79.65;82.82
26.2;2.95;56.99;79.87
26.43;0.23;43.47;79.64
26.95;0.52;55.55;79.12
28.61;1.66;58.12;77.46
29.57;0.96;5.13;76.5
31.8;2.23;1.38;74.27
32.33;0.53;6.85;73.74
35.34;3.01;0.32;70.73
38.12;2.78;0.78;67.95
38.81;0.69;1.56;67.26
39.63;0.82;0.86;66.44
40.97;1.34;0.65;65.1
41.84;0.87;4.92;64.23
43.07;1.23;0.27;63
44.57;1.5;0.15;61.5
46.4;1.83;3.9;59.67
48.42;2.02;1.7;57.65
50.45;2.03;1.98;55.62
52.27;1.82;1.82;53.8
54.13;1.86;0.69;51.94
55.44;1.31;1.17;50.63
57.18;1.74;1.05;48.89
57.65;0.47;0.84;48.42
59.13;1.48;0.31;46.94
60.79;1.66;0.86;45.28
63.32;2.53;0.77;42.75
65.65;2.33;0.46;40.42
67.98;2.33;0.4;38.09
106.07;38.09;0;0